seed,provider,strategy,map,rescued,deaths,avg_rescue_time,fires_extinguished,roads_cleared,energy_used,tool_calls,invalid_json,replans,hospital_overflow_events,crisis_score
1000,mock,react,map_medium,5,15,12.0,10,0,110,200,0,0,0,-16.0
1001,mock,react,map_medium,7,13,10.714285714285714,10,0,106,200,0,0,0,-5.600000000000001
1002,mock,react,map_medium,4,15,11.5,10,0,105,200,0,0,0,-18.5
1000,mock,react_reflexion,map_medium,5,15,12.0,10,0,110,200,0,0,0,-16.0
1001,mock,react_reflexion,map_medium,7,13,10.714285714285714,10,0,106,200,0,0,0,-5.600000000000001
1002,mock,react_reflexion,map_medium,4,15,11.5,10,0,105,200,0,0,0,-18.5
1000,mock,react,map_medium,5,15,12.0,10,0,110,200,0,0,0,-16.0
1001,mock,react,map_medium,7,13,10.714285714285714,10,0,106,200,0,0,0,-5.600000000000001
1002,mock,react,map_medium,4,15,11.5,10,0,105,200,0,0,0,-18.5
